id,advertiser_name,final_url,country,score,confidence,needs_review,review_status,source,reasons,duplicate_count,other_urls,created_at
15,"Kong","https://go.kingkong.co/signup",US,4,high,false,pending,dom_fallback,"Domain 'go.kingkong.co' doesn't clearly match business name (+2) | Ad has been active 336 days - real ongoing spend (+1) | Country matches target outreach list (+1)",2,"",2026-08-05T19:07:51.716Z
6,"Teero Dental","http://itunes.apple.com/app/id6463821171",US,4,high,false,pending,dom_fallback,"Domain 'itunes.apple.com' doesn't clearly match business name (+2) | Ad has been active 43 days - real ongoing spend (+1) | Country matches target outreach list (+1)",4,"http://play.google.com/store/apps/details?id=com.teerodental.pro_app",2026-08-05T19:07:51.716Z
26,"NYU Continuing Dental Education","https://nyu.qualtrics.com/jfe/form/SV_51KHZ5OELwsToSa",US,4,high,false,pending,dom_fallback,"Domain 'nyu.qualtrics.com' doesn't clearly match business name (+2) | Ad has been active 401 days - real ongoing spend (+1) | Country matches target outreach list (+1)",1,"",2026-08-05T19:07:51.716Z
4,"Apex Dental Sensors","https://dentalstore123.com/shop/apex-dental-sensors/?utm_source={{site_source_name}}&utm_medium={{adset.name}}&utm_campaign={{campaign.name}}&utm_content={{ad.name}}",US,2,low,true,pending,dom_fallback,"Domain match to business name is unclear (similarity 0.58) - needs review | Ad has been active 421 days - real ongoing spend (+1) | Country matches target outreach list (+1)",3,"",2026-08-05T19:07:51.716Z
29,"Janie","https://janie.ai/ai-verification",US,2,high,false,pending,dom_fallback,"Ad has been active 41 days - real ongoing spend (+1) | Country matches target outreach list (+1)",1,"",2026-08-05T19:07:51.716Z
5,"Dentalstores","https://www.dentalstores.com/catalog/product_info.php?products_id=100075&utm_source=facebook-ads&utm_medium=products&utm_campaign=50+Dollar+Gift+Card",US,2,high,false,pending,dom_fallback,"Ad has been active 2101 days - real ongoing spend (+1) | Country matches target outreach list (+1)",1,"",2026-08-05T19:07:51.716Z
7,"Birdeye","https://birdeye.com/cmp/how-to-get-google-reviews/?utm_source=facebook&utm_medium=cpc&utm_campaign=fb_ltv-lookalike_leads_06252025&utm_content=before_and_after&utm_term=2-4pclookalike-1dattrib-customlookalike&utm_sfcamp=7011Q000000XBEu",US,2,high,false,pending,dom_fallback,"Ad has been active 26 days - real ongoing spend (+1) | Country matches target outreach list (+1)",1,"",2026-08-05T19:07:51.716Z
10,"HRcosts.com","https://hrcosts.com/compare-quotes/",US,2,high,false,pending,dom_fallback,"Ad has been active 130 days - real ongoing spend (+1) | Country matches target outreach list (+1)",1,"",2026-08-05T19:07:51.716Z
11,"Coilcraft Inc.","https://coilcraft.applicantpro.com/jobs/3717925",US,2,high,false,pending,dom_fallback,"Ad has been active 147 days - real ongoing spend (+1) | Country matches target outreach list (+1)",1,"",2026-08-05T19:07:51.716Z
19,"Star Lincoln","https://www.starlincoln.com/star-mobile-service-van.html",US,2,high,false,pending,dom_fallback,"Ad has been active 258 days - real ongoing spend (+1) | Country matches target outreach list (+1)",1,"",2026-08-05T19:07:51.716Z
21,"Videa","https://www.videa.ai/",US,2,high,false,pending,dom_fallback,"Ad has been active 68 days - real ongoing spend (+1) | Country matches target outreach list (+1)",1,"",2026-08-05T19:07:51.716Z
23,"NexHealth","https://www.nexhealth.com/features/forms?gtm_adid=120243912426560190&utm_source=genly&utm_medium=cpc&utm_campaign=meta_awareness&utm_genly=1&utm_placement={{placement}}&gtm_genly=1&utm_adid=120247652743150190",US,2,high,false,pending,dom_fallback,"Ad has been active 44 days - real ongoing spend (+1) | Country matches target outreach list (+1)",1,"",2026-08-05T19:07:51.716Z
24,"Restoration Dental","https://rdclermont.smileimplantsnow.com/?utm_source=meta&utm_medium=paid social&utm_campaign=PDM 104571 diQUAL00 LangEN",US,2,low,true,pending,dom_fallback,"Domain match to business name is unclear (similarity 0.44) - needs review | Ad has been active 132 days - real ongoing spend (+1) | Country matches target outreach list (+1)",1,"",2026-08-05T19:07:51.716Z
27,"Peroz","https://peroz.ca/for-business",US,2,high,false,pending,dom_fallback,"Ad has been active 38 days - real ongoing spend (+1) | Country matches target outreach list (+1)",1,"",2026-08-05T19:07:51.716Z
28,"Ivory Implant Dentistry","https://ivory-implant-dentistry.implantschedule.com/consult-fb",US,2,high,false,pending,dom_fallback,"Ad has been active 142 days - real ongoing spend (+1) | Country matches target outreach list (+1)",1,"",2026-08-05T19:07:51.716Z
25,"Dental Hygiene with Kara RDH","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",1,"",2026-08-05T19:07:51.716Z
2,"Software Dental DentaBash","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",2,"",2026-08-05T19:07:51.716Z
14,"The Blood Sugar Journal","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",2,"",2026-08-05T19:07:51.716Z
8,"IOS México","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",1,"",2026-08-05T19:07:51.716Z
18,"DentiMax","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",1,"",2026-08-05T19:07:51.716Z
20,"Kat Works LLC","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",1,"",2026-08-05T19:07:51.716Z
