id,advertiser_name,final_url,country,score,confidence,needs_review,review_status,source,reasons,icp_mismatch,icp_mismatch_reason,created_at
26,"NYU Continuing Dental Education","https://nyu.qualtrics.com/jfe/form/SV_51KHZ5OELwsToSa",US,4,high,false,pending,dom_fallback,"Domain 'nyu.qualtrics.com' doesn't clearly match business name (+2) | Ad has been active 401 days - real ongoing spend (+1) | Country matches target outreach list (+1)",false,"",2026-08-05T19:07:51.716Z
21,"Videa","https://www.videa.ai/",US,2,high,false,pending,dom_fallback,"Ad has been active 68 days - real ongoing spend (+1) | Country matches target outreach list (+1)",false,"",2026-08-05T19:07:51.716Z
24,"Restoration Dental","https://rdclermont.smileimplantsnow.com/?utm_source=meta&utm_medium=paid social&utm_campaign=PDM 104571 diQUAL00 LangEN",US,2,low,true,pending,dom_fallback,"Domain match to business name is unclear (similarity 0.44) - needs review | Ad has been active 132 days - real ongoing spend (+1) | Country matches target outreach list (+1)",false,"",2026-08-05T19:07:51.716Z
16,"Apex Dental Sensors","https://dentalstore123.com/shop/apex-dental-sensors/?utm_source={{site_source_name}}&utm_medium={{adset.name}}&utm_campaign={{campaign.name}}&utm_content={{ad.name}}",US,2,low,true,pending,dom_fallback,"Domain match to business name is unclear (similarity 0.58) - needs review | Ad has been active 421 days - real ongoing spend (+1) | Country matches target outreach list (+1)",false,"",2026-08-05T19:07:51.716Z
27,"Peroz","https://peroz.ca/for-business",US,2,high,false,pending,dom_fallback,"Ad has been active 38 days - real ongoing spend (+1) | Country matches target outreach list (+1)",false,"",2026-08-05T19:07:51.716Z
28,"Ivory Implant Dentistry","https://ivory-implant-dentistry.implantschedule.com/consult-fb",US,2,high,false,pending,dom_fallback,"Ad has been active 142 days - real ongoing spend (+1) | Country matches target outreach list (+1)",false,"",2026-08-05T19:07:51.716Z
29,"Janie","https://janie.ai/ai-verification",US,2,high,false,pending,dom_fallback,"Ad has been active 41 days - real ongoing spend (+1) | Country matches target outreach list (+1)",false,"",2026-08-05T19:07:51.716Z
4,"Apex Dental Sensors","https://dentalstore123.com/shop/apex-dental-sensors/?utm_source={{site_source_name}}&utm_medium={{adset.name}}&utm_campaign={{campaign.name}}&utm_content={{ad.name}}",US,2,low,true,pending,dom_fallback,"Domain match to business name is unclear (similarity 0.58) - needs review | Ad has been active 421 days - real ongoing spend (+1) | Country matches target outreach list (+1)",false,"",2026-08-05T19:07:51.716Z
13,"Apex Dental Sensors","https://dentalstore123.com/shop/apex-dental-sensors/?utm_source={{site_source_name}}&utm_medium={{adset.name}}&utm_campaign={{campaign.name}}&utm_content={{ad.name}}",US,2,low,true,pending,dom_fallback,"Domain match to business name is unclear (similarity 0.58) - needs review | Ad has been active 421 days - real ongoing spend (+1) | Country matches target outreach list (+1)",false,"",2026-08-05T19:07:51.716Z
5,"Dentalstores","https://www.dentalstores.com/catalog/product_info.php?products_id=100075&utm_source=facebook-ads&utm_medium=products&utm_campaign=50+Dollar+Gift+Card",US,2,high,false,pending,dom_fallback,"Ad has been active 2101 days - real ongoing spend (+1) | Country matches target outreach list (+1)",false,"",2026-08-05T19:07:51.716Z
19,"Star Lincoln","https://www.starlincoln.com/star-mobile-service-van.html",US,2,high,false,pending,dom_fallback,"Ad has been active 258 days - real ongoing spend (+1) | Country matches target outreach list (+1)",false,"",2026-08-05T19:07:51.716Z
18,"DentiMax","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",false,"",2026-08-05T19:07:51.716Z
3,"Software Dental DentaBash","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",false,"",2026-08-05T19:07:51.716Z
8,"IOS México","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",false,"",2026-08-05T19:07:51.716Z
14,"The Blood Sugar Journal","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",false,"",2026-08-05T19:07:51.716Z
17,"The Blood Sugar Journal","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",false,"",2026-08-05T19:07:51.716Z
2,"Software Dental DentaBash","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",false,"",2026-08-05T19:07:51.716Z
20,"Kat Works LLC","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",false,"",2026-08-05T19:07:51.716Z
25,"Dental Hygiene with Kara RDH","",US,0,low,true,pending,dom_fallback,"Landing page could not be resolved - scrape failed",false,"",2026-08-05T19:07:51.716Z
